index,bucket_start,bucket_start_offset_ns,bucket_duration_ns,source_x_px,source_y_px,height_px,height_ppm,target_visible_cycles_per_second,target_visible_Bcycles_per_second
141,03:56:05.581,14165581395348,100465116279,141,118.000,23.499,484525,124226250000,124.226250000
142,03:57:46.046,14266046511627,100465116279,142,118.000,23.499,484525,124226250000,124.226250000
143,03:59:26.511,14366511627906,100465116280,143,117.551,23.948,493783,124689150000,124.689150000
144,04:01:06.976,14466976744186,100465116279,144,117.531,23.968,494195,124709750000,124.709750000
145,04:02:47.441,14567441860465,100465116279,145,117.556,23.943,493680,124684000000,124.684000000
146,04:04:27.906,14667906976744,100465116279,146,118.000,23.499,484525,124226250000,124.226250000
147,04:06:08.372,14768372093023,100465116279,147,118.000,23.499,484525,124226250000,124.226250000
148,04:07:48.837,14868837209302,100465116279,148,118.437,23.062,475514,123775700000,123.775700000
149,04:09:29.302,14969302325581,100465116279,149,118.520,22.979,473803,123690150000,123.690150000
150,04:11:09.767,15069767441860,100465116279,150,119.437,22.062,454895,122744750000,122.744750000
151,04:12:50.232,15170232558139,100465116279,151,119.549,21.950,452586,122629300000,122.629300000
152,04:14:30.697,15270697674418,100465116279,152,120.458,21.041,433843,121692150000,121.692150000
153,04:16:11.162,15371162790697,100465116279,153,120.547,20.952,432008,121600400000,121.600400000
154,04:17:51.627,15471627906976,100465116279,154,121.512,19.987,412111,120605550000,120.605550000
155,04:19:32.093,15572093023255,100465116279,155,122.432,19.067,393142,119657100000,119.657100000
156,04:21:12.558,15672558139534,100465116279,156,122.542,18.957,390874,119543700000,119.543700000
157,04:22:53.023,15773023255813,100465116280,157,123.474,18.025,371657,118582850000,118.582850000
158,04:24:33.488,15873488372093,100465116279,158,123.564,17.935,369801,118490050000,118.490050000
159,04:26:13.953,15973953488372,100465116279,159,124.487,17.012,350770,117538500000,117.538500000
160,04:27:54.418,16074418604651,100465116279,160,125.000,16.499,340192,117009600000,117.009600000
161,04:29:34.883,16174883720930,100465116279,161,125.530,15.969,329264,116463200000,116.463200000
162,04:31:15.348,16275348837209,100465116279,162,126.433,15.066,310645,115532250000,115.532250000
163,04:32:55.813,16375813953488,100465116279,163,126.545,14.954,308336,115416800000,115.416800000
164,04:34:36.279,16476279069767,100465116279,164,127.475,14.024,289160,114458000000,114.458000000
165,04:36:16.744,16576744186046,100465116279,165,128.000,13.499,278335,113916750000,113.916750000
166,04:37:57.209,16677209302325,100465116279,166,128.434,13.065,269386,113469300000,113.469300000
167,04:39:37.674,16777674418604,100465116279,167,128.454,13.045,268974,113448700000,113.448700000
168,04:41:18.139,16878139534883,100465116279,168,128.000,13.499,278335,113916750000,113.916750000
169,04:42:58.604,16978604651162,100465116279,169,127.557,13.942,287469,114373450000,114.373450000
170,04:44:39.069,17079069767441,100465116279,170,127.502,13.997,288603,114430150000,114.430150000
171,04:46:19.534,17179534883720,100465116280,171,127.443,14.056,289820,114491000000,114.491000000
172,04:48:00.000,17280000000000,100465116279,172,127.000,14.499,298954,114947700000,114.947700000
173,04:49:40.465,17380465116279,100465116279,173,126.544,14.955,308356,115417800000,115.417800000
174,04:51:20.930,17480930232558,100465116279,174,126.508,14.991,309099,115454950000,115.454950000
175,04:53:01.395,17581395348837,100465116279,175,126.489,15.010,309490,115474500000,115.474500000
176,04:54:41.860,17681860465116,100465116279,176,126.553,14.946,308171,115408550000,115.408550000
177,04:56:22.325,17782325581395,100465116279,177,126.571,14.928,307800,115390000000,115.390000000
178,04:58:02.790,17882790697674,100465116279,178,127.447,14.052,289737,114486850000,114.486850000
179,04:59:43.255,17983255813953,100465116279,179,127.503,13.996,288583,114429150000,114.429150000
180,05:01:23.720,18083720930232,100465116279,180,127.556,13.943,287490,114374500000,114.374500000
181,05:03:04.186,18184186046511,100465116279,181,128.430,13.069,269469,113473450000,113.473450000
